"filename", "language", "C++", "comment", "blank", "total"
"/home/nukeexplode/Desktop/deemo/src/base/ConfigFileReader.cpp", "C++", 81, 48, 24, 153
"/home/nukeexplode/Desktop/deemo/src/base/ConfigFileReader.h", "C++", 19, 0, 4, 23
"/home/nukeexplode/Desktop/deemo/src/base/Singleton.h", "C++", 20, 38, 18, 76
"/home/nukeexplode/Desktop/deemo/src/base/TcpSession.cpp", "C++", 14, 75, 21, 110
"/home/nukeexplode/Desktop/deemo/src/base/TcpSession.h", "C++", 33, 7, 12, 52
"/home/nukeexplode/Desktop/deemo/src/base/codec.cpp", "C++", 165, 29, 25, 219
"/home/nukeexplode/Desktop/deemo/src/base/codec.h", "C++", 57, 12, 16, 85
"/home/nukeexplode/Desktop/deemo/src/base/database/DatabaseConn.cpp", "C++", 66, 0, 13, 79
"/home/nukeexplode/Desktop/deemo/src/base/database/DatabaseConn.h", "C++", 22, 5, 6, 33
"/home/nukeexplode/Desktop/deemo/src/base/database/DatabaseMysql.cpp", "C++", 56, 0, 11, 67
"/home/nukeexplode/Desktop/deemo/src/base/database/DatabaseMysql.h", "C++", 37, 1, 8, 46
"/home/nukeexplode/Desktop/deemo/src/base/database/Field.cpp", "C++", 23, 1, 7, 31
"/home/nukeexplode/Desktop/deemo/src/base/database/Field.h", "C++", 71, 0, 15, 86
"/home/nukeexplode/Desktop/deemo/src/base/database/MysqlManager.cpp", "C++", 40, 0, 12, 52
"/home/nukeexplode/Desktop/deemo/src/base/database/MysqlManager.h", "C++", 20, 0, 5, 25
"/home/nukeexplode/Desktop/deemo/src/base/database/QueryResult.cpp", "C++", 79, 1, 13, 93
"/home/nukeexplode/Desktop/deemo/src/base/database/QueryResult.h", "C++", 47, 0, 14, 61
"/home/nukeexplode/Desktop/deemo/src/base/dispatcher.h", "C++", 74, 0, 16, 90
"/home/nukeexplode/Desktop/deemo/src/base/google-inl.h", "C++", 27, 49, 9, 85
"/home/nukeexplode/Desktop/deemo/src/base/msg.h", "C++", 16, 0, 1, 17
"/home/nukeexplode/Desktop/deemo/src/base/pb/protocol/BaseDefine.pb.cc", "C++", 159, 7, 17, 183
"/home/nukeexplode/Desktop/deemo/src/base/pb/protocol/BaseDefine.pb.h", "C++", 175, 9, 24, 208
"/home/nukeexplode/Desktop/deemo/src/base/pb/protocol/User.pb.cc", "C++", 1479, 167, 245, 1891
"/home/nukeexplode/Desktop/deemo/src/base/pb/protocol/User.pb.h", "C++", 871, 130, 199, 1200
"/home/nukeexplode/Desktop/deemo/src/base/redis/RedisConn.cpp", "C++", 478, 5, 82, 565
"/home/nukeexplode/Desktop/deemo/src/base/redis/RedisConn.h", "C++", 41, 5, 11, 57
"/home/nukeexplode/Desktop/deemo/src/base/redis/RedisManager.cpp", "C++", 39, 0, 12, 51
"/home/nukeexplode/Desktop/deemo/src/base/redis/RedisManager.h", "C++", 17, 0, 4, 21
"/home/nukeexplode/Desktop/deemo/src/base/redis/RedisPool.cpp", "C++", 51, 0, 11, 62
"/home/nukeexplode/Desktop/deemo/src/base/redis/RedisPool.h", "C++", 28, 3, 5, 36
"/home/nukeexplode/Desktop/deemo/src/base/tests/ConfigFileReader_test.cpp", "C++", 10, 0, 3, 13
"/home/nukeexplode/Desktop/deemo/src/base/tests/DatabasePool_test.cpp", "C++", 41, 0, 10, 51
"/home/nukeexplode/Desktop/deemo/src/base/tests/Singleton_test.cpp", "C++", 28, 0, 8, 36
"/home/nukeexplode/Desktop/deemo/src/client/RegClient.cpp", "C++", 12, 0, 2, 14
"/home/nukeexplode/Desktop/deemo/src/client/RegClient.h", "C++", 88, 8, 17, 113
"/home/nukeexplode/Desktop/deemo/src/client/main.cpp", "C++", 30, 27, 12, 69
"/home/nukeexplode/Desktop/deemo/src/proxy_server/ProxyServer.cpp", "C++", 27, 0, 9, 36
"/home/nukeexplode/Desktop/deemo/src/proxy_server/ProxyServer.h", "C++", 28, 0, 8, 36
"/home/nukeexplode/Desktop/deemo/src/proxy_server/ProxySession.cpp", "C++", 65, 1, 14, 80
"/home/nukeexplode/Desktop/deemo/src/proxy_server/ProxySession.h", "C++", 39, 3, 12, 54
"/home/nukeexplode/Desktop/deemo/src/proxy_server/main.cpp", "C++", 16, 0, 8, 24
"/home/nukeexplode/Desktop/deemo/src/register_server/ProxyClient.cpp", "C++", 14, 0, 3, 17
"/home/nukeexplode/Desktop/deemo/src/register_server/ProxyClient.h", "C++", 96, 5, 18, 119
"/home/nukeexplode/Desktop/deemo/src/register_server/ProxyClientManager.cpp", "C++", 41, 0, 13, 54
"/home/nukeexplode/Desktop/deemo/src/register_server/ProxyClientManager.h", "C++", 28, 1, 8, 37
"/home/nukeexplode/Desktop/deemo/src/register_server/RegServer.cpp", "C++", 38, 3, 14, 55
"/home/nukeexplode/Desktop/deemo/src/register_server/RegServer.h", "C++", 41, 1, 11, 53
"/home/nukeexplode/Desktop/deemo/src/register_server/RegSession.cpp", "C++", 54, 53, 23, 130
"/home/nukeexplode/Desktop/deemo/src/register_server/RegSession.h", "C++", 52, 5, 17, 74
"/home/nukeexplode/Desktop/deemo/src/register_server/main.cpp", "C++", 16, 0, 9, 25
"Total", "-", 5069, 699, 1079, 6847